idx	gene_id	task_id	system	subsystem	reactions
819	PFAS	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRFGS
820	PRPS1	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
821	PRPS1	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
822	PRPS1	12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	PRPPS
823	PRPS1	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
824	PRPS1	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
825	PRPS1	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
826	PRPS1L1	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
827	PRPS1L1	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
828	PRPS1L1	12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	PRPPS
829	PRPS1L1	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
830	PRPS1L1	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
831	PRPS1L1	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
832	PRPS2	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
833	PRPS2	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRPPS
834	PRPS2	12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	PRPPS
835	PRPS2	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
836	PRPS2	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
837	PRPS2	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRPPS
838	PSAT1	94	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	PSERT
839	PSAT1	113	AMINO ACIDS METABOLISM	SERINE METABOLISM	PSERT
840	PSPH	94	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	PSP_L
841	PSPH	113	AMINO ACIDS METABOLISM	SERINE METABOLISM	PSP_L
842	PDXK	180	VITAMIN & COFACTOR METABOLISM	VITAMIN B6 METABOLISM	PYDAMK|PYDXK|PYDXNK
843	RFK	176	VITAMIN & COFACTOR METABOLISM	COENZYME FAD BIOSYNTHESIS	RBFK
844	RRM2	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	RNDR1|RNDR2|RNDR3|RNDR4|r0470|r0472|r0474|r0475
845	RRM1	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	RNDR1|RNDR2|RNDR3|RNDR4|r0470|r0472|r0474|r0475
846	RRM2B	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	RNDR1|RNDR2|RNDR3|RNDR4|r0470|r0472|r0474|r0475
847	ST3GAL2	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g|ST3GAL21g|ST3GAL22g
848	ST3GAL2	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g|ST3GAL21g|ST3GAL22g
849	ST3GAL4	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g
850	ST3GAL4	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g
851	ST3GAL1	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g
852	ST3GAL1	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T2g|S23T4g
853	ST3GAL3	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S23T3g
854	CHST4	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
855	CHST4	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
856	CHST4	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
857	CHST5	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
858	CHST5	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
859	CHST5	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
860	CHST6	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
861	CHST6	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
862	CHST6	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
863	CHST2	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
864	CHST2	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
865	CHST2	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T10g|S6T11g|S6T12g|S6T13g|S6T14g|S6T16g|S6T17g|S6T1g|S6T2g|S6T4g|S6T5g|S6T6g|S6T7g|S6T8g|S6T9g
866	CHST1	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
867	CHST1	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
868	CHST1	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
869	CHST3	192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
870	CHST3	193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
871	CHST3	195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	S6T15g|S6T18g|S6T3g
872	AASS	106	AMINO ACIDS METABOLISM	LYSINE METABOLISM	SACCD3m|SACCD4m|r0525
873	SARDH	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	SARDHm
874	SPTLC2	149	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
875	SPTLC2	150	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
876	SPTLC2	172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
877	SPTLC2	173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
878	SPTLC2	174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	SERPT
879	SPTLC3	149	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
880	SPTLC3	150	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
881	SPTLC3	172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
882	SPTLC3	173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
883	SPTLC3	174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	SERPT
884	SPTLC1	149	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
885	SPTLC1	150	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SERPT
886	SPTLC1	172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
887	SPTLC1	173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	SERPT
888	SPTLC1	174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	SERPT
889	SGMS1	149	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	SMS
890	SOAT1	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	SOAT12|r1164|r1165|r1166|r1167|r1168|r1169|r1170|r1171|CHOLESACATc
891	SRM	112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	SPMS|SPRMS
892	SQLE	138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	SQLEr
893	FDFT1	138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	SQLSr|r0170|r0575
894	SDHC	2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	SUCD1m
895	SDHC	4	ENERGY METABOLISM	KREBS CYCLE	SUCD1m
896	SDHC	5	ENERGY METABOLISM	ATP GENERATION	SUCD1m
897	SDHC	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	SUCD1m
898	SDHC	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	SUCD1m
899	SDHC	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	SUCD1m
900	SDHC	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	SUCD1m
901	SDHC	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	SUCD1m
902	SDHA	2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	SUCD1m
903	SDHA	4	ENERGY METABOLISM	KREBS CYCLE	SUCD1m
904	SDHA	5	ENERGY METABOLISM	ATP GENERATION	SUCD1m
905	SDHA	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	SUCD1m
906	SDHA	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	SUCD1m
907	SDHA	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	SUCD1m
908	SDHA	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	SUCD1m
909	SDHA	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	SUCD1m
910	SDHB	2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	SUCD1m
911	SDHB	4	ENERGY METABOLISM	KREBS CYCLE	SUCD1m
912	SDHB	5	ENERGY METABOLISM	ATP GENERATION	SUCD1m
913	SDHB	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	SUCD1m
914	SDHB	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	SUCD1m
915	SDHB	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	SUCD1m
916	SDHB	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	SUCD1m
917	SDHB	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	SUCD1m
918	SDHD	2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	SUCD1m
919	SDHD	4	ENERGY METABOLISM	KREBS CYCLE	SUCD1m
920	SDHD	5	ENERGY METABOLISM	ATP GENERATION	SUCD1m
921	SDHD	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	SUCD1m
922	SDHD	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	SUCD1m
923	SDHD	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	SUCD1m
924	SDHD	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	SUCD1m
925	SDHD	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	SUCD1m
926	SDSL	122	AMINO ACIDS METABOLISM	THREONINE METABOLISM	THRD_L
927	TYMS	17	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	TMDS
928	TPI1	6	ENERGY METABOLISM	ATP GENERATION	TPI
929	TPI1	32	CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	TPI
930	TPI1	39	CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	TPI
931	TPI1	52	CARBOHYDRATES METABOLISM	KETOGENESIS	TPI
932	TPI1	53	CARBOHYDRATES METABOLISM	KETOGENESIS	TPI
933	TPI1	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	TPI
934	TPI1	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	TPI
935	TPI1	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	TPI
936	TPI1	94	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	TPI
937	TPI1	113	AMINO ACIDS METABOLISM	SERINE METABOLISM	TPI
938	TPI1	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	TPI
939	TPI1	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	TPI
940	TPI1	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	TPI
941	TPI1	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	TPI
942	TPI1	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	TPI
943	TXNRD1	8	ENERGY METABOLISM	REDOX METABOLISM	TRDR|TRDR2|TRDR3|r0027
944	TPH2	129	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPHYDRO2|r0403
945	TPH1	129	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPHYDRO2|r0403
946	TDO2	123	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
947	TDO2	124	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
948	TDO2	125	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
949	TDO2	126	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
950	TDO2	127	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
951	TDO2	128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
952	IDO2	123	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
953	IDO2	124	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
954	IDO2	125	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
955	IDO2	126	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
956	IDO2	127	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
957	IDO2	128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
958	IDO1	123	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
959	IDO1	124	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
960	IDO1	125	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
961	IDO1	126	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
962	IDO1	127	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
963	IDO1	128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	TRPO2
964	TBXAS1	171	LIPIDS METABOLISM	EICOSANOID METABOLISM	TXASr
965	TAT	115	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	TYRTA|TYRTAm
966	TAT	131	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	TYRTA|TYRTAm
967	TAT	134	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	TYRTA|TYRTAm
968	TAT	178	VITAMIN & COFACTOR METABOLISM	UBIQUINONE 10 BIOSYNTHESIS	TYRTA|TYRTAm
969	GALE	47	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAG4E|UDPG4E
970	UAP1L1	47	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
971	UAP1L1	48	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
972	UAP1L1	49	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
973	UAP1	47	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
974	UAP1	48	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
975	UAP1	49	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UAGDP
976	UGDH	43	CARBOHYDRATES METABOLISM	NUCLEOTIDE SUGAR	UDPGD
977	UGDH	51	CARBOHYDRATES METABOLISM	PENTOSE AND GLUCURONATE INTERCONVERSION	UDPGD
978	LALBA	36	CARBOHYDRATES METABOLISM	GALACTOSE METABOLISM	UGALGTg
979	UGCG	172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	UGCG
980	UGCG	173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	UGCG
981	UGCG	174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	UGCG
982	UROS	182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	UPP3S
983	UROD	182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	UPPDC1
984	UROC1	97	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	URCN
985	UROC1	98	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	URCN
986	XDH	22	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	XANDp|XAO2x|XAOx|r0394|r0395|r0502|r0504
987	XDH	23	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	XANDp|XAO2x|XAOx|r0394|r0395|r0502|r0504
988	XYLB	55	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	XYLK
989	CYP51A1	138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	r0781
990	SOAT2	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	r1164|r1165|r1166|r1167|r1168|r1169|r1170|r1171|CHOLESACATc
991	LIPA	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	r1172|r1174|r1175|r1177|r1179|r1181|r1182|r1183|CHOLESTle
992	HMGCR	140	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	HMGCOARc
993	SLC25A2	66	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ARGtm|CITRtm|LYStm|ORNt3m|ORNt4m|r0947|r1427|r2395|r2396|r2397|r2398|r2399|r2400|r2401|r2402|r2403|r2404|r2405|r2406|r2407|r2408|r2409|r2410|r2411|r2413|r2416
994	SLC25A2	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	ARGtm|CITRtm|LYStm|ORNt3m|ORNt4m|r0947|r1427|r2395|r2396|r2397|r2398|r2399|r2400|r2401|r2402|r2403|r2404|r2405|r2406|r2407|r2408|r2409|r2410|r2411|r2413|r2416
995	ATP5ME	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
996	ATP5ME	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
997	ATP5ME	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
998	ATP5MC3	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
999	ATP5MC3	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1000	ATP5MC3	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1001	ATP5PD	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1002	ATP5PD	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1003	ATP5PD	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1004	ATP5F1E	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1005	ATP5F1E	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1006	ATP5F1E	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1007	ATP5MC1	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1008	ATP5MC1	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1009	ATP5MC1	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1010	ATP5F1D	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1011	ATP5F1D	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1012	ATP5F1D	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1013	ATP5MG	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1014	ATP5MG	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1015	ATP5MG	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1016	ATP5MGL	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1017	ATP5MGL	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1018	ATP5MGL	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1019	DMAC2L	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1020	DMAC2L	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1021	DMAC2L	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1022	ATP5F1B	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1023	ATP5F1B	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1024	ATP5F1B	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1025	ATP5F1A	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1026	ATP5F1A	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1027	ATP5F1A	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1028	ATP5PB	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1029	ATP5PB	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1030	ATP5PB	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1031	ATP5MC2	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1032	ATP5MC2	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1033	ATP5MC2	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1034	ATP5MF	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1035	ATP5MF	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1036	ATP5MF	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1037	ATP5PO	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1038	ATP5PO	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1039	ATP5PO	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1040	ATP5PF	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1041	ATP5PF	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1042	ATP5PF	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1043	NSF	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1044	NSF	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1045	NSF	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1046	ATP5F1C	5	ENERGY METABOLISM	ATP GENERATION	ATPS4m
1047	ATP5F1C	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	ATPS4m
1048	ATP5F1C	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	ATPS4m
1049	COL4A3BP	172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	CERT1gt|CERT1rt|CERT2gt|CERT2rt
1050	COL4A3BP	173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	CERT1gt|CERT1rt|CERT2gt|CERT2rt
1051	COL4A3BP	174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	CERT1gt|CERT1rt|CERT2gt|CERT2rt
1052	COX6C	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1053	COX6C	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1054	COX6C	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1055	COX7C	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1056	COX7C	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1057	COX7C	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1058	UQCR10	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1059	UQCRQ	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1060	COX5A	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1061	COX5A	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1062	COX5A	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1063	COX6A1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1064	COX6A1	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1065	COX6A1	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1066	CYC1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1067	COX7B2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1068	COX7B2	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1069	COX7B2	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1070	COX6B1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1071	COX6B1	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1072	COX6B1	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1073	UQCRC2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1074	COX7A2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1075	COX7A2	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1076	COX7A2	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1077	COX4I1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
