idx	gene_id	task_id	system	subsystem	reactions
642	KYNU	127	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	HKYNH|KYN|LFORKYNHYD
643	KYNU	128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	HKYNH|KYN|LFORKYNHYD
644	HMBS	182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	HMBS
645	HMGCS2	52	CARBOHYDRATES METABOLISM	KETOGENESIS	HMGCOASim
646	HMGCS2	53	CARBOHYDRATES METABOLISM	KETOGENESIS	HMGCOASim
647	HMGCS2	105	AMINO ACIDS METABOLISM	LYSINE METABOLISM	HMGCOASim
648	HMGCS2	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	HMGCOASim
649	HMGCS2	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	HMGCOASim
650	HMGCL	52	CARBOHYDRATES METABOLISM	KETOGENESIS	HMGLm|HMGLx
651	HMGCL	53	CARBOHYDRATES METABOLISM	KETOGENESIS	HMGLm|HMGLx
652	HMGCL	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	HMGLm|HMGLx
653	HMGCL	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	HMGLm|HMGLx
654	MIOX	55	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	INOSTO
655	IDI1	141	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	IPDDIx|IPDDI
656	IDI2	141	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	IPDDIx|IPDDI
657	AMDHD1	97	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	IZPN
658	AMDHD1	98	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	IZPN
659	KHK	59	CARBOHYDRATES METABOLISM	GLYOXYLATE METABOLISM	KHK|KHK2
660	KMO	128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	KYN3OX
661	LSS	138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	LNSTLSr
662	PIPOX	107	AMINO ACIDS METABOLISM	LYSINE METABOLISM	LPCOXp
663	CEL	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	LPS|LPS2|r1172|r1174|r1175|r1177|r1179|r1181|r1182|r1183
664	SC5D	138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	LSTO1r|LSTO2r
665	GSTZ1	134	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	MACACI
